driver_id,order_id,started_delivery,completed_delivery
1,1,08:15,09:30
1,6,10:00,10:45
1,11,13:20,14:50
1,16,15:30,16:45
1,21,17:10,17:40
1,26,19:05,19:50
1,31,08:45,09:20
1,36,11:30,12:45
1,41,14:10,14:55
1,46,16:00,17:30
1,51,18:20,19:00
1,56,20:05,20:40
1,61,21:30,21:55
2,2,08:25,09:15
2,7,10:15,10:55
2,12,13:45,14:20
2,17,15:05,16:30
2,22,17:20,17:55
2,27,19:40,20:25
2,32,08:50,09:40
2,37,11:10,11:55
2,42,14:30,15:05
2,47,16:45,17:20
2,52,18:10,19:45
2,57,20:30,21:00
2,62,21:45,22:10
3,3,08:40,09:15
3,8,10:20,10:50
3,13,13:00,13:45
3,18,15:15,16:10
3,23,17:30,17:55
3,28,19:15,19:40
3,33,08:15,09:00
3,38,11:30,12:15
3,43,14:20,15:05
3,48,16:10,16:55
3,53,18:00,18:45
3,58,20:05,21:10
3,63,21:15,21:45
4,4,08:30,09:20
4,9,10:00,10:30
4,14,13:10,13:40
4,19,15:45,16:10
4,24,17:00,17:45
4,29,19:20,19:50
4,34,08:45,09:35
4,39,11:45,12:15
4,44,14:40,15:30
4,49,16:20,16:55
4,54,18:30,19:15
4,59,20:50,21:30
5,5,08:00,08:45
5,10,10:30,11:00
5,15,13:05,13:45
5,20,15:20,16:00
5,25,17:40,18:20
5,30,19:55,20:25
5,35,08:20,09:00
5,40,11:00,11:35
5,45,14:15,14:45
5,50,16:40,17:10
5,55,18:55,19:40
5,60,21:05,21:45
