order_id,customer_id,ordered_date,pizza_type_id,store_id
1,1,2023-09-02,1,1
2,2,2023-09-05,2,2
3,3,2023-09-07,3,3
4,4,2023-09-10,1,4
5,5,2023-09-12,2,5
6,1,2023-09-15,3,1
7,2,2023-09-18,1,2
8,3,2023-09-21,2,3
9,4,2023-09-24,3,4
10,5,2023-09-27,1,5
11,1,2023-09-30,2,1
12,2,2023-10-03,3,2
13,3,2023-10-06,1,3
14,4,2023-10-09,2,4
15,5,2023-10-12,3,5
16,1,2023-10-15,1,1
17,2,2023-10-18,2,2
18,3,2023-10-21,3,3
19,4,2023-10-24,1,4
20,5,2023-10-27,2,5
21,1,2023-10-30,3,1
22,2,2023-11-02,1,2
23,3,2023-11-05,2,3
24,4,2023-11-08,3,4
25,5,2023-11-11,1,5
26,1,2023-11-14,2,1
27,2,2023-11-17,3,2
28,3,2023-11-20,1,3
29,4,2023-11-23,2,4
30,5,2023-11-26,3,5
31,1,2023-09-02,1,1
32,2,2023-09-05,2,2
33,3,2023-09-07,3,3
34,4,2023-09-10,1,4
35,5,2023-09-12,2,5
36,1,2023-09-15,3,1
37,2,2023-09-18,1,2
38,3,2023-09-21,2,3
39,4,2023-09-24,3,4
40,5,2023-09-27,1,5
41,1,2023-09-30,2,1
42,2,2023-10-03,3,2
43,3,2023-10-06,1,3
44,4,2023-10-09,2,4
45,5,2023-10-12,3,5
46,1,2023-10-15,1,1
47,2,2023-10-18,2,2
48,3,2023-10-21,3,3
49,4,2023-10-24,1,4
50,5,2023-10-27,2,5
51,1,2023-10-30,3,1
52,2,2023-11-02,1,2
53,3,2023-11-05,2,3
54,4,2023-11-08,3,4
55,5,2023-11-11,1,5
56,1,2023-11-14,2,1
57,2,2023-11-17,3,2
58,3,2023-11-20,1,3
59,4,2023-11-23,2,4
60,5,2023-11-26,3,5
61,1,2023-09-02,1,1
62,2,2023-09-05,2,2
63,3,2023-09-07,3,3
64,4,2023-09-10,1,4
